"Id","Name","Country","Discipline","Event"
1,GADEMAN Pasha,Canada,Hockey,Men
1,GAIDUKOV Aleksandr,ROC,Water Polo,Women
1,GARCIA HERRERA Manuel,Dominican Republic,Baseball/Softball,Baseball
1,GARCIA Nestor,Dominican Republic,Basketball,
1,GARCIA PIZARRO Paula,Colombia,Artistic Swimming,Duet
1,GARNIER Valerie,France,Basketball,Women
1,GERHARDSSON Peter,Sweden,Football,Women
1,GIACOBBE Antonio,Tunisia,Volleyball,Men
1,GIALLOMBARDO Patrizia,Italy,Artistic Swimming,Duet
1,GIALLOMBARDO Patrizia,Italy,Artistic Swimming,Team
1,GILLE Guillaume,France,Handball,Men
1,GINZBURG Ronen,Czech Republic,Basketball,Men
1,GISLASON Alfred,Germany,Handball,Men
1,GOJKOVIC Vladimir,Montenegro,Water Polo,Men
1,GOMEZ CORA Santiago,Argentina,Rugby Sevens,Men
1,GONZALEZ Anibal,Mexico,Football,
1,GONZALEZ JARENO Angel,Spain,Basketball,
1,GOORJIAN Brian,Australia,Basketball,Men
1,GORDO MANSILLA Juan David,Spain,Football,
1,GRAINGER Adam,Ireland,Hockey,
1,GRAUPERA Cristina,Greece,Artistic Swimming,
1,GRAZIOSI Gianluca,Italy,Volleyball,
1,GRESKOWIAK Arne,Germany,Basketball,
1,GRYZUNOVA Elena,ROC,Artistic Swimming,Team
1,GUERRERO LOPEZ Julen,Spain,Football,
1,GUERRERO Rolando,Mexico,Baseball/Softball,Softball
1,GUERRERO Rolando,Mexico,Baseball/Softball,Softball
1,GUIDETTI Giovanni,Turkey,Volleyball,Women
1,GUILLEN Ronald,Venezuela,Basketball,
1,GUIMARAES Jose Roberto,Brazil,Volleyball,Women
1,GUSTAVSSON Tony,Australia,Football,Women
1,HAGER Mark,Great Britain,Hockey,Women
1,HAIDARA Soualiho,C�te d'Ivoire,Football,Men
1,HALD Simon,Denmark,Handball,
1,HALKETT Rhett,Netherlands,Hockey,
1,HAM Darvin de,Nigeria,Basketball,
1,HARDY William,United States of America,Basketball,
1,HARROW Laing,Australia,Baseball/Softball,Softball
1,HARVEY Laura,United States of America,Football,
1,HAVENGA Arno,Netherlands,Water Polo,Women
1,HAY Danny,New Zealand,Football,Men
1,HEM Thon Ponloeu,Cambodia,Artistic Swimming,
1,HENKEL Claas,Germany,Hockey,Men
1,HENNING Andre,Canada,Hockey,Men
